IP 地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）
156.238.19.237,4,4,0,251.78,31.32
154.92.9.0,4,4,0,224.04,28.64
64.176.49.119,4,4,0,385.12,21.94
156.238.18.222,4,4,0,251.1,21.3
47.79.39.132,4,4,0,219.41,17.13
156.238.18.123,4,4,0,223,9.22
156.238.19.200,4,4,0,249.8,8.53
156.238.19.43,4,4,0,251.66,8.29
156.238.19.248,4,4,0,233.78,6.77
132.145.116.185,4,4,0,157.04,5.14
156.238.18.52,4,4,0,253.27,2.87
156.238.19.33,4,4,0,249.8,1.51
47.79.39.132,4,4,0,222.39,0.22
13.225.158.103,4,4,0,106.85,0
65.49.236.151,4,4,0,117.79,0
65.49.237.237,4,4,0,118.16,0
45.78.55.169,4,4,0,118.39,0
99.84.141.112,4,4,0,118.45,0
65.49.237.173,4,4,0,118.67,0
54.250.83.225,4,4,0,118.9,0
65.49.237.237,4,4,0,119.76,0
65.49.237.173,4,4,0,119.76,0
65.49.236.151,4,4,0,119.76,0
99.84.141.68,4,4,0,120.63,0
65.49.237.152,4,4,0,120.67,0
65.49.237.173,4,4,0,120.67,0
45.78.63.32,4,4,0,120.83,0
54.230.175.15,4,4,0,121.47,0
65.49.237.237,4,4,0,122.12,0
65.49.236.124,4,4,0,122.12,0
65.49.237.152,4,4,0,122.12,0
65.49.237.237,4,4,0,122.67,0
65.49.237.237,4,4,0,122.8,0
45.78.56.6,4,4,0,122.83,0
65.49.237.152,4,4,0,123.07,0
65.49.237.152,4,4,0,123.88,0
65.49.237.152,4,4,0,124.01,0
45.143.233.196,4,4,0,124.06,0
65.49.237.237,4,4,0,124.08,0
65.49.237.237,4,4,0,124.48,0
65.49.237.237,4,4,0,125.22,0
65.49.237.237,4,4,0,125.38,0
45.78.56.6,4,4,0,125.58,0
65.49.237.237,4,4,0,125.83,0
99.84.141.38,4,4,0,126.14,0
65.49.236.53,4,4,0,126.54,0
65.49.236.71,4,4,0,126.57,0
45.78.52.157,4,4,0,126.76,0
65.49.236.151,4,4,0,126.78,0
65.49.236.151,4,4,0,127.01,0
65.49.237.152,4,4,0,127.01,0
45.78.53.137,4,4,0,128.45,0
65.49.237.237,4,4,0,128.71,0
65.49.237.152,4,4,0,132.21,0
52.193.225.8,4,4,0,132.98,0
65.49.236.151,4,4,0,133.17,0
65.49.236.53,4,4,0,134.54,0
65.49.236.151,4,4,0,134.63,0
65.49.237.152,4,4,0,134.75,0
18.65.171.33,4,4,0,117.79,0
65.49.236.53,4,4,0,135.56,0
65.49.237.152,4,4,0,135.56,0
35.77.197.80,4,4,0,135.74,0
65.49.237.237,4,4,0,135.86,0
45.159.51.120,4,4,0,136,0
65.49.236.151,4,4,0,136.05,0
65.49.237.237,4,4,0,136.19,0
65.49.237.152,4,4,0,136.39,0
65.49.236.151,4,4,0,136.45,0
65.49.236.124,4,4,0,137.72,0
65.49.236.124,4,4,0,137.72,0
65.49.236.124,4,4,0,137.74,0
65.49.236.124,4,4,0,137.99,0
65.49.236.124,4,4,0,138.19,0
65.49.236.124,4,4,0,138.35,0
65.49.236.124,4,4,0,139.71,0
65.49.236.151,4,4,0,139.83,0
65.49.236.124,4,4,0,139.83,0
65.49.237.152,4,4,0,134.9,0
101.32.99.61,4,4,0,140.7,0
65.9.42.73,4,4,0,142.61,0
103.170.233.156,4,4,0,146.54,0
65.49.236.153,4,4,0,117.79,0
38.150.11.196,4,4,0,157.34,0
80.96.156.197,4,4,0,157.46,0
89.187.28.86,4,4,0,169.13,0
38.60.212.55,4,4,0,169.8,0
47.79.40.214,4,4,0,214.98,0
47.79.33.88,4,4,0,218.99,0
23.61.250.67,4,4,0,219.26,0
65.49.236.53,4,4,0,117.42,0
18.65.207.53,4,4,0,117.22,0
47.79.43.175,4,4,0,222.56,0
65.49.237.237,4,4,0,117.22,0
47.79.33.179,4,4,0,223.01,0
65.49.236.53,4,4,0,116.97,0
23.61.250.67,4,4,0,227.68,0
65.49.236.151,4,4,0,140.09,0
154.83.22.74,4,4,0,233.93,0
35.217.139.38,4,4,0,246.47,0
209.146.103.39,4,4,0,246.5,0
65.49.237.237,4,4,0,116.56,0
99.84.141.32,4,4,0,113.31,0
23.222.230.207,4,4,0,250.54,0
