IP 地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）
194.53.53.247,4,4,0,278.74,528.17
194.53.53.253,4,4,0,279.28,527.81
194.53.53.2,4,4,0,280.02,527.63
194.53.53.250,4,4,0,281.33,527.6
194.53.53.253,4,4,0,213.91,527.42
194.53.53.7,4,4,0,254.86,527.11
194.53.53.246,4,4,0,254.84,518.86
194.53.53.7,4,4,0,246.97,518.74
194.53.53.7,4,4,0,212.5,518.72
194.53.53.5,4,4,0,236.45,517.34
194.53.53.249,4,4,0,254.72,517.24
194.53.53.6,4,4,0,212.45,515.89
194.53.53.252,4,4,0,214.25,515.71
194.53.53.245,4,4,0,214.35,515.71
194.53.53.10,4,4,0,281.03,513.88
194.53.53.2,4,4,0,255.29,466.03
194.53.53.5,4,4,0,236.2,466
194.53.53.7,4,4,0,247.16,394.81
194.53.53.11,4,4,0,214.68,336.84
194.53.53.245,4,4,0,236.27,336.74
194.53.53.11,4,4,0,246.91,336.41
194.53.53.3,4,4,0,255.06,336.2
194.53.53.246,4,4,0,246.96,335.99
194.53.53.2,4,4,0,254.88,335.95
194.53.53.249,4,4,0,247.26,335.78
194.53.53.5,4,4,0,255.21,335.35
194.53.53.11,4,4,0,246.83,333.78
194.53.53.250,4,4,0,278.52,333.63
194.53.53.246,4,4,0,246.92,333.41
194.53.53.253,4,4,0,246.98,333.29
194.53.53.254,4,4,0,280.17,333.19
194.53.53.7,4,4,0,212.83,333.01
194.53.53.251,4,4,0,236.77,332.93
194.53.53.11,4,4,0,212.73,332.82
194.53.53.253,4,4,0,246.93,328.57
194.53.53.253,4,4,0,247.11,328.49
194.53.53.245,4,4,0,246.92,327.81
194.53.53.5,4,4,0,254.94,324.12
194.53.53.6,4,4,0,278.76,322.74
194.53.53.6,4,4,0,213.94,322.7
194.53.53.252,4,4,0,280.75,322.7
194.53.53.245,4,4,0,213.23,322.7
194.53.53.4,4,4,0,279.66,322.7
194.53.53.248,4,4,0,255.14,322.7
194.53.53.7,4,4,0,247.18,322.7
194.53.53.10,4,4,0,255.24,322.7
194.53.53.6,4,4,0,278.65,322.7
194.53.53.246,4,4,0,247.17,322.7
194.53.53.7,4,4,0,215.03,322.7
194.53.53.6,4,4,0,279.87,322.7
194.53.53.2,4,4,0,247.21,322.7
194.53.53.10,4,4,0,246.96,322.69
194.53.53.6,4,4,0,246.96,322.64
194.53.53.11,4,4,0,254.76,322.54
194.53.53.2,4,4,0,246.77,322.54
194.53.53.11,4,4,0,247.2,322.52
194.53.53.6,4,4,0,281.18,322.52
194.53.53.10,4,4,0,255.03,322.5
194.53.53.6,4,4,0,236.77,322.5
194.53.53.250,4,4,0,278.85,322.5
194.53.53.2,4,4,0,237.06,322.42
194.53.53.251,4,4,0,255.19,322.32
194.53.53.251,4,4,0,237.11,322.31
194.53.53.5,4,4,0,247.19,322.3
194.53.53.4,4,4,0,280.44,322.1
194.53.53.5,4,4,0,254.71,322.03
194.53.53.8,4,4,0,255.3,322
194.53.53.10,4,4,0,246.96,321.92
194.53.53.2,4,4,0,254.74,321.65
194.53.53.10,4,4,0,255.02,321.59
194.53.53.253,4,4,0,236.61,321.56
194.53.53.6,4,4,0,279.05,321.32
194.53.53.250,4,4,0,280.51,321.19
194.53.53.9,4,4,0,236.42,321.19
194.53.53.252,4,4,0,213.35,321.18
194.53.53.254,4,4,0,280.6,321.1
194.53.53.248,4,4,0,280.36,321.03
194.53.53.248,4,4,0,254.77,320.88
194.53.53.253,4,4,0,236.75,320.49
194.53.53.8,4,4,0,236.9,320.46
194.53.53.7,4,4,0,280.81,319.6
194.53.53.7,4,4,0,214.07,319.43
194.53.53.10,4,4,0,247.16,319.33
194.53.53.5,4,4,0,236.51,319
194.53.53.250,4,4,0,279.39,318.74
194.53.53.248,4,4,0,213.26,318.64
194.53.53.254,4,4,0,255.2,318.01
194.53.53.246,4,4,0,237.09,317.23
194.53.53.250,4,4,0,237.28,316.53
194.53.53.7,4,4,0,212.63,316.44
194.53.53.5,4,4,0,246.98,316.26
194.53.53.3,4,4,0,236.38,316.08
194.53.53.2,4,4,0,280.21,316.01
194.53.53.248,4,4,0,213.19,315.82
194.53.53.250,4,4,0,280.31,315.65
194.53.53.251,4,4,0,236.48,315.58
194.53.53.8,4,4,0,236.51,314.5
194.53.53.8,4,4,0,213.37,314.42
194.53.53.3,4,4,0,280.97,314.14
194.53.53.254,4,4,0,255.08,314.12
194.53.53.5,4,4,0,246.91,314.06
194.53.53.249,4,4,0,236.99,314.02
194.53.53.10,4,4,0,246.77,313.88
194.53.53.5,4,4,0,254.79,313.67
194.53.53.251,4,4,0,254.94,313.39
194.53.53.7,4,4,0,212.17,313.36
194.53.53.253,4,4,0,213.16,313.19
194.53.53.10,4,4,0,236.67,312.5
194.53.53.9,4,4,0,279.22,311.65
194.53.53.246,4,4,0,247.09,309.77
194.53.53.245,4,4,0,254.84,307.51
194.53.53.3,4,4,0,237.03,307.39
194.53.53.245,4,4,0,212.79,305.9
194.53.53.5,4,4,0,212.26,304.75
194.53.53.7,4,4,0,213.2,304.46
194.53.53.250,4,4,0,279.66,303.37
194.53.53.5,4,4,0,236.99,300.28
194.53.53.254,4,4,0,236.57,285.88
194.53.53.253,4,4,0,236.47,283.76
194.53.53.245,4,4,0,236.6,274.42
