IP 地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）
141.101.114.252,,,,204 毫秒,10035 kB/s
104.17.234.79,,,,259 毫秒,10035 kB/s
141.101.122.118,,,,203 毫秒,10035 kB/s
104.18.99.37,,,,188 毫秒,10035 kB/s
104.16.247.25,,,,195 毫秒,10035 kB/s
104.23.106.54,,,,209 毫秒,10035 kB/s
104.20.129.114,,,,201 毫秒,10035 kB/s
104.24.19.41,,,,196 毫秒,10035 kB/s
104.24.248.97,,,,201 毫秒,10035 kB/s
172.67.129.135,,,,198 毫秒,10035 kB/s
104.20.119.175,,,,200 毫秒,10035 kB/s
172.67.231.159,,,,253 毫秒,10035 kB/s
104.20.190.193,,,,206 毫秒,10035 kB/s
172.67.233.86,,,,205 毫秒,10035 kB/s
104.21.19.191,,,,189 毫秒,10035 kB/s
104.19.251.30,,,,162 毫秒,10035 kB/s
104.17.20.44,,,,168 毫秒,10035 kB/s
104.23.126.246,,,,205 毫秒,10035 kB/s
198.41.196.15,,,,194 毫秒,10035 kB/s
104.20.194.99,,,,202 毫秒,10035 kB/s
104.16.167.98,,,,176 毫秒,10035 kB/s
104.27.31.101,,,,192 毫秒,10035 kB/s
104.24.248.196,,,,204 毫秒,10035 kB/s
104.20.108.77,,,,195 毫秒,10035 kB/s
104.20.77.6,,,,193 毫秒,10035 kB/s
104.21.218.40,,,,201 毫秒,10035 kB/s
104.18.24.193,,,,205 毫秒,10035 kB/s
162.159.8.159,,,,206 毫秒,10035 kB/s
172.64.48.104,,,,205 毫秒,10035 kB/s
104.25.110.228,,,,196 毫秒,10035 kB/s
104.25.43.236,,,,198 毫秒,10035 kB/s
104.24.43.184,,,,202 毫秒,10035 kB/s
104.24.40.173,,,,200 毫秒,10035 kB/s
162.159.44.73,,,,207 毫秒,10035 kB/s
172.67.241.178,,,,196 毫秒,10035 kB/s
104.18.159.120,,,,163 毫秒,10035 kB/s
172.67.44.191,,,,206 毫秒,10035 kB/s
104.21.92.34,,,,201 毫秒,10035 kB/s
104.19.237.244,,,,166 毫秒,10035 kB/s
104.27.85.245,,,,210 毫秒,10035 kB/s
104.16.216.230,,,,170 毫秒,10035 kB/s
104.17.65.39,,,,174 毫秒,10035 kB/s
104.24.237.28,,,,202 毫秒,10035 kB/s
104.27.94.56,,,,200 毫秒,10035 kB/s
104.17.60.159,,,,182 毫秒,10035 kB/s
162.159.15.53,,,,197 毫秒,10035 kB/s
104.21.15.38,,,,197 毫秒,10035 kB/s
104.19.85.31,,,,199 毫秒,10035 kB/s
104.16.250.192,,,,170 毫秒,10035 kB/s
172.67.67.197,,,,133 毫秒,10137 kB/s
104.16.225.63,,,,269 毫秒,10137 kB/s
104.25.35.79,,,,240 毫秒,10137 kB/s
172.67.127.212,,,,262 毫秒,10137 kB/s
104.21.90.42,,,,263 毫秒,10137 kB/s
104.19.233.178,,,,193 毫秒,10137 kB/s
172.67.87.97,,,,209 毫秒,10137 kB/s
104.20.92.109,,,,205 毫秒,10137 kB/s
104.18.172.146,,,,173 毫秒,10137 kB/s
104.18.192.190,,,,185 毫秒,10137 kB/s
104.27.13.153,,,,200 毫秒,10137 kB/s
104.20.187.171,,,,202 毫秒,10137 kB/s
162.159.40.124,,,,202 毫秒,10137 kB/s
104.18.244.225,,,,204 毫秒,10137 kB/s
104.16.206.106,,,,169 毫秒,10137 kB/s
104.25.102.114,,,,205 毫秒,10137 kB/s
172.67.25.136,,,,208 毫秒,10137 kB/s
104.18.131.30,,,,172 毫秒,10137 kB/s
104.21.83.140,,,,194 毫秒,10137 kB/s
104.19.49.31,,,,206 毫秒,10137 kB/s
104.24.206.244,,,,207 毫秒,10137 kB/s
104.19.104.28,,,,195 毫秒,10137 kB/s
104.25.15.53,,,,201 毫秒,10137 kB/s
104.25.22.85,,,,206 毫秒,10137 kB/s
172.67.100.90,,,,206 毫秒,10137 kB/s
104.20.59.213,,,,204 毫秒,10137 kB/s
104.24.212.80,,,,193 毫秒,10137 kB/s
104.27.105.139,,,,189 毫秒,10137 kB/s
104.18.29.35,,,,202 毫秒,10137 kB/s
104.24.62.61,,,,192 毫秒,10137 kB/s
104.19.141.1,,,,201 毫秒,10137 kB/s
104.18.85.92,,,,193 毫秒,10137 kB/s
104.20.255.113,,,,201 毫秒,10137 kB/s
104.16.61.93,,,,156 毫秒,10137 kB/s
172.67.34.221,,,,204 毫秒,10137 kB/s
172.67.248.73,,,,206 毫秒,10137 kB/s
104.18.2.97,,,,198 毫秒,10137 kB/s
104.27.0.183,,,,201 毫秒,10137 kB/s
104.18.51.27,,,,203 毫秒,10137 kB/s
104.25.206.123,,,,195 毫秒,10137 kB/s
104.16.253.215,,,,183 毫秒,10137 kB/s
172.67.86.37,,,,208 毫秒,10137 kB/s
104.18.152.176,,,,163 毫秒,10137 kB/s
104.18.56.119,,,,195 毫秒,10137 kB/s
104.20.132.242,,,,204 毫秒,10137 kB/s
104.17.55.13,,,,187 毫秒,10137 kB/s
104.16.47.253,,,,229 毫秒,10240 kB/s
104.19.229.19,,,,254 毫秒,10240 kB/s
104.18.142.43,,,,216 毫秒,10240 kB/s
104.17.65.63,,,,220 毫秒,10240 kB/s
104.16.208.71,,,,223 毫秒,10240 kB/s
104.19.42.4,,,,206 毫秒,10240 kB/s
104.19.217.214,,,,210 毫秒,10240 kB/s
104.17.168.215,,,,201 毫秒,10240 kB/s
104.19.123.87,,,,201 毫秒,10240 kB/s
104.24.151.28,,,,197 毫秒,10240 kB/s
104.27.31.183,,,,227 毫秒,10240 kB/s
104.27.81.32,,,,202 毫秒,10240 kB/s
104.19.228.67,,,,167 毫秒,10240 kB/s
104.18.213.112,,,,190 毫秒,10240 kB/s
104.20.167.233,,,,199 毫秒,10240 kB/s
104.24.252.188,,,,192 毫秒,10240 kB/s
104.20.86.91,,,,203 毫秒,10240 kB/s
104.17.194.152,,,,182 毫秒,10240 kB/s
104.22.39.43,,,,195 毫秒,10240 kB/s
